CVE-2010-0972,A directory traversal vulnerability in the GCalendar (com_gcalendar) component 2.1.5 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/11738
     https://nvd.nist.gov/vuln/detail/CVE-2010-0972
     http://www.exploit-db.com/exploits/11738
     https://exchange.xforce.ibmcloud.com/vulnerabilities/56863",CWE-22,CVE-2010-0972,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:g4j.laoneo:com_gcalendar:2.1.5:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
CVE-2010-0982,A directory traversal vulnerability in the CARTwebERP (com_cartweberp) component 1.56.75 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/10942
     https://nvd.nist.gov/vuln/detail/CVE-2010-0982",CWE-22,CVE-2010-0982,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:N/A:N,4.3,cpe:2.3:a:joomlamo:com_cartweberp:1.56.75:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-0985,A directory traversal vulnerability in the Abbreviations Manager (com_abbrev) component 1.1 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/10948
     https://nvd.nist.gov/vuln/detail/CVE-2010-0985
     http://www.exploit-db.com/exploits/10948
     https://exchange.xforce.ibmcloud.com/vulnerabilities/55348",CWE-22,CVE-2010-0985,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:chris_simon:com_abbrev:1.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1056,A directory traversal vulnerability in the RokDownloads (com_rokdownloads) component before 1.0.1 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11760
     https://nvd.nist.gov/vuln/detail/CVE-2010-1056
     http://www.rockettheme.com/extensions-updates/638-rokdownloads-10-released
     https://exchange.xforce.ibmcloud.com/vulnerabilities/56898",CWE-22,CVE-2010-1056,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:rockettheme:com_rokdownloads:*:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1081,"A directory traversal vulnerability in the Community Polls (com_communitypolls) component 1.5.2, and possibly earlier, for Core Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.","regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11511
     https://nvd.nist.gov/vuln/detail/CVE-2010-1081
     http://www.corejoomla.com/component/content/article/1-corejoomla-updates/40-community-polls-v153-security-release.html",CWE-22,CVE-2010-1081,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:corejoomla:com_communitypolls:*:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1217,"A directory traversal vulnerability in the JE Form Creator (com_jeformcr) component for Joomla!, when magic_quotes_gpc is disabled, allows remote attackers to read arbitrary files via directory traversal sequences in the view parameter to index.php. NOTE -- the original researcher states that the affected product is JE Tooltip, not Form Creator; however, the exploit URL suggests that Form Creator is affected.","regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11814
     https://nvd.nist.gov/vuln/detail/CVE-2010-1217
     http://www.packetstormsecurity.org/1003-exploits/joomlajetooltip-lfi.txt
     http://www.exploit-db.com/exploits/11814",CWE-22,CVE-2010-1217,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:N/A:N,4.3,cpe:2.3:a:je_form_creator:je_form_creator:*:*:*:*:*:*:*:*,,"edb,packetstorm,cve,cve2010,joomla,lfi,plugin"
CVE-2010-1219,A directory traversal vulnerability in the JA News (com_janews) component 1.0 for Joomla! allows remote attackers to read arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11757
     https://nvd.nist.gov/vuln/detail/CVE-2010-1219
     https://exchange.xforce.ibmcloud.com/vulnerabilities/56901",CWE-22,CVE-2010-1219,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:com_janews:com_janews:1.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1302,A directory traversal vulnerability in dwgraphs.php in the DecryptWeb DW Graphs (com_dwgraphs) component 1.0 for Joomla! allows remote attackers to read arbitrary files via directory traversal sequences in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11978
     https://nvd.nist.gov/vuln/detail/CVE-2010-1302",CWE-22,CVE-2010-1302,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:decryptweb:com_dwgraphs:1.0:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi,graph"
CVE-2010-1304,A directory traversal vulnerability in userstatus.php in the User Status (com_userstatus) component 1.21.16 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11998
     https://nvd.nist.gov/vuln/detail/CVE-2010-1304
     http://www.exploit-db.com/exploits/11998
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57483",CWE-22,CVE-2010-1304,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomlamo:com_userstatus:1.21.16:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,status,edb,cve"
CVE-2010-1305,"A directory traversal vulnerability in jinventory.php in the JInventory (com_jinventory) component 1.23.02 and possibly other versions before 1.26.03, a module for Joomla!, allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.","regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12065
     https://nvd.nist.gov/vuln/detail/CVE-2010-1305
     http://extensions.joomla.org/extensions/e-commerce/shopping-cart/7951
     http://www.vupen.com/english/advisories/2010/0811
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57538",CWE-22,CVE-2010-1305,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomlamo:com_jinventory:1.23.02:*:*:*:*:*:*:*,,"joomla,lfi,edb,cve,cve2010"
CVE-2010-1306,A directory traversal vulnerability in the Picasa (com_joomlapicasa2) component 2.0 and 2.0.5 for Joomla! allows remote attackers to read arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12058
     https://nvd.nist.gov/vuln/detail/CVE-2010-1306
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57508",CWE-22,CVE-2010-1306,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:roberto_aloi:com_joomlapicasa2:2.0.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1307,A directory traversal vulnerability in the Magic Updater (com_joomlaupdater) component for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12070
     https://nvd.nist.gov/vuln/detail/CVE-2010-1307
    http://www.vupen.com/english/advisories/2010/0806
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57531",CWE-22,CVE-2010-1307,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:software.realtyna:com_joomlaupdater:1.0:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
CVE-2010-1308,A directory traversal vulnerability in the SVMap (com_svmap) component 1.1.1 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12066
     https://nvd.nist.gov/vuln/detail/CVE-2010-1308
     http://www.vupen.com/english/advisories/2010/0809",CWE-22,CVE-2010-1308,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:la-souris-verte:com_svmap:1.1.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1312,A directory traversal vulnerability in the iJoomla News Portal (com_news_portal) component 1.5.x for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12077
     https://nvd.nist.gov/vuln/detail/CVE-2010-1312
     http://packetstormsecurity.org/1004-exploits/joomlanewportal-lfi.txt",CWE-22,CVE-2010-1312,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:ijoomla:com_news_portal:1.5.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1313,"A directory traversal vulnerability in the Seber Cart (com_sebercart) component 1.0.0.12 and 1.0.0.13 for Joomla!, when magic_quotes_gpc is disabled, allows remote attackers to read arbitrary files via a .. (dot dot) in the view parameter to index.php.","regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12082
     https://nvd.nist.gov/vuln/detail/CVE-2010-1313
     http://www.exploit-db.com/exploits/12082",CWE-22,CVE-2010-1313,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:N/A:N,4.3,cpe:2.3:a:seber:com_sebercart:1.0.0.12:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1314,A directory traversal vulnerability in the Highslide JS (com_hsconfig) component 1.5 and 2.0.9 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12086
     https://nvd.nist.gov/vuln/detail/CVE-2010-1314
     http://packetstormsecurity.org/1004-exploits/joomlahsconfig-lfi.txt",CWE-22,CVE-2010-1314,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomlanook:com_hsconfig:1.5:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1315,A directory traversal vulnerability in weberpcustomer.php in the webERPcustomer (com_weberpcustomer) component 1.2.1 and 1.x before 1.06.02 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11999
     https://nvd.nist.gov/vuln/detail/CVE-2010-1315
     http://packetstormsecurity.org/1004-exploits/joomlaweberpcustomer-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57482",CWE-22,CVE-2010-1315,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomlamo:com_weberpcustomer:1.2.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1340,A directory traversal vulnerability in jresearch.php in the J!Research (com_jresearch) component for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/33797
     https://nvd.nist.gov/vuln/detail/CVE-2010-1340
     http://packetstormsecurity.org/1003-exploits/joomlajresearch-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57123",CWE-22,CVE-2010-1340,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomla-research:com_jresearch:*:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2010-1345,A directory traversal vulnerability in the Cookex Agency CKForms (com_ckforms) component 1.3.3 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/15453
     https://nvd.nist.gov/vuln/detail/CVE-2010-1345
     http://www.exploit-db.com/exploits/11785",CWE-22,CVE-2010-1345,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:cookex:com_ckforms:1.3.3:*:*:*:*:*:*:*,,"lfi,edb,cve,cve2010,joomla"
CVE-2010-1352,A directory traversal vulnerability in the JOOFORGE Jutebox (com_jukebox) component 1.0 and 1.7 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12084
     https://nvd.nist.gov/vuln/detail/CVE-2010-1352
     http://packetstormsecurity.org/1004-exploits/joomlajukebox-lfi.txt",CWE-22,CVE-2010-1352,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:jooforge:com_jukebox:1.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1353,A directory traversal vulnerability in the LoginBox Pro (com_loginbox) component for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the view parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12068
     https://nvd.nist.gov/vuln/detail/CVE-2010-1353
     http://www.vupen.com/english/advisories/2010/0808
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57533",CWE-22,CVE-2010-1353,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:wowjoomla:com_loginbox:*:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1354,A directory traversal vulnerability in the VJDEO (com_vjdeo) component 1.0 and 1.0.1 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12102
     https://nvd.nist.gov/vuln/detail/CVE-2010-1354
     http://packetstormsecurity.org/1004-exploits/joomlavjdeo-lfi.txt
     http://www.exploit-db.com/exploits/12102",CWE-22,CVE-2010-1354,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:ternaria:com_vjdeo:1.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1429,"|
    Red Hat JBoss Enterprise Application Platform 4.2 before 4.2.0.CP09 and 4.3 before 4.3.0.CP08 is susceptible to sensitive information disclosure. A remote attacker can obtain sensitive information about deployed web contexts via a request to the status servlet, as demonstrated by a full=true query string. NOTE: this issue exists because of a CVE-2008-3273 regression.","word
status",,,,,"JVM
           memory
           localhost/
200",,medium,"https://rhn.redhat.com/errata/RHSA-2010-0377.html
     https://nvd.nist.gov/vuln/detail/CVE-2010-1429
     https://nvd.nist.gov/vuln/detail/CVE-2008-3273
     http://marc.info/?l=bugtraq&m=132698550418872&w=2
     http://securitytracker.com/id?1023918",CWE-264,CVE-2010-1429,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:redhat:jboss_enterprise_application_platform:*:cp08:*:*:*:*:*:*,,"cve,cve2010,jboss,eap,tomcat,exposure"
CVE-2010-1461,A directory traversal vulnerability in the Photo Battle (com_photobattle) component 1.0.1 for Joomla! allows remote attackers to read arbitrary files via the view parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12232
     https://nvd.nist.gov/vuln/detail/CVE-2010-1461
     http://www.exploit-db.com/exploits/12232",CWE-22,CVE-2010-1461,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:gogoritas:com_photobattle:1.0.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,photo,edb"
CVE-2010-1469,A directory traversal vulnerability in the Ternaria Informatica JProject Manager (com_jprojectmanager) component 1.0 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impact via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12146
     https://nvd.nist.gov/vuln/detail/CVE-2010-1469
     http://packetstormsecurity.org/1004-exploits/joomlajprojectmanager-lfi.txt
     http://www.exploit-db.com/exploits/12146",CWE-22,CVE-2010-1469,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:ternaria:com_jprojectmanager:1.0:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1470,A directory traversal vulnerability in the Web TV (com_webtv) component 1.0 for Joomla! allows remote attackers to read arbitrary files and have possibly other unspecified impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12166
     https://nvd.nist.gov/vuln/detail/CVE-2010-1470
     http://www.exploit-db.com/exploits/12166
     http://www.vupen.com/english/advisories/2010/0858",CWE-22,CVE-2010-1470,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:dev.pucit.edu.pk:com_webtv:1.0:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1471,A directory traversal vulnerability in the AddressBook (com_addressbook) component 1.5.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12170
     https://nvd.nist.gov/vuln/detail/CVE-2010-1471
     http://www.vupen.com/english/advisories/2010/0862",CWE-22,CVE-2010-1471,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:b-elektro:com_addressbook:1.5.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1472,A directory traversal vulnerability in the Daily Horoscope (com_horoscope) component 1.5.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12167
     https://nvd.nist.gov/vuln/detail/CVE-2010-1472
     http://www.exploit-db.com/exploits/12167
     http://www.vupen.com/english/advisories/2010/0859",CWE-22,CVE-2010-1472,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:kazulah:com_horoscope:1.5.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1473,A directory traversal vulnerability in the Advertising (com_advertising) component 0.25 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12171
     https://nvd.nist.gov/vuln/detail/CVE-2010-1473
     http://packetstormsecurity.org/1004-exploits/joomlaeasyadbanner-lfi.txt",CWE-22,CVE-2010-1473,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:johnmccollum:com_advertising:0.25:*:*:*:*:*:*:*,,"joomla,lfi,edb,packetstorm,cve,cve2010"
CVE-2010-1474,A directory traversal vulnerability in the Sweety Keeper (com_sweetykeeper) component 1.5.x for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12182
     https://nvd.nist.gov/vuln/detail/CVE-2010-1474
     http://www.exploit-db.com/exploits/12182
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57662",CWE-22,CVE-2010-1474,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:supachai_teasakul:com_sweetykeeper:*:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1475,A directory traversal vulnerability in the Preventive & Reservation (com_preventive) component 1.0.5 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12147
     https://nvd.nist.gov/vuln/detail/CVE-2010-1475
     http://www.exploit-db.com/exploits/12147
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57652",CWE-22,CVE-2010-1475,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:ternaria:com_preventive:1.0.5:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
CVE-2010-1476,A directory traversal vulnerability in the AlphaUserPoints (com_alphauserpoints) component 1.5.5 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the view parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12150
     https://nvd.nist.gov/vuln/detail/CVE-2010-1476
     http://packetstormsecurity.org/1004-exploits/joomlaalphauserpoints-lfi.txt
     http://www.alphaplug.com/",CWE-22,CVE-2010-1476,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:alphaplug:com_alphauserpoints:1.5.5:*:*:*:*:*:*:*,,"joomla,lfi,edb,packetstorm,cve,cve2010"
CVE-2010-1478,A directory traversal vulnerability in the Ternaria Informatica Jfeedback! (com_jfeedback) component 1.2 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12145
     https://nvd.nist.gov/vuln/detail/CVE-2010-1478",CWE-22,CVE-2010-1478,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:ternaria:com_jfeedback:1.2:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1491,A directory traversal vulnerability in the MMS Blog (com_mmsblog) component 2.3.0 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12318
     https://nvd.nist.gov/vuln/detail/CVE-2010-1491
     http://packetstormsecurity.org/1004-exploits/joomlammsblog-lfi.txt
     http://www.exploit-db.com/exploits/12318",CWE-22,CVE-2010-1491,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:mms.pipp:com_mmsblog:2.3.0:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2010-1494,A directory traversal vulnerability in the AWDwall (com_awdwall) component 1.5.4 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12113
     https://nvd.nist.gov/vuln/detail/CVE-2010-1494
     http://www.exploit-db.com/exploits/12113
     http://www.awdwall.com/index.php/awdwall-updates-logs-
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57693",CWE-22,CVE-2010-1494,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:awdsolution:com_awdwall:1.5.4:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1495,A directory traversal vulnerability in the Matamko (com_matamko) component 1.01 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12286
     https://nvd.nist.gov/vuln/detail/CVE-2010-1495
     http://www.vupen.com/english/advisories/2010/0929
     http://packetstormsecurity.org/1004-exploits/joomlamatamko-lfi.txt",CWE-22,CVE-2010-1495,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:matamko:com_matamko:1.01:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2010-1531,A directory traversal vulnerability in the redSHOP (com_redshop) component 1.0.x for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the view parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12054
     https://nvd.nist.gov/vuln/detail/CVE-2010-1531
     http://packetstormsecurity.org/1004-exploits/joomlaredshop-lfi.txt
     http://redcomponent.com/redshop/redshop-changelog
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57512",CWE-22,CVE-2010-1531,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:redcomponent:com_redshop:1.0:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1532,A directory traversal vulnerability in the givesight PowerMail Pro (com_powermail) component 1.5.3 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12118
     https://nvd.nist.gov/vuln/detail/CVE-2010-1532
     http://packetstormsecurity.org/1004-exploits/joomlapowermail-lfi.txt",CWE-22,CVE-2010-1532,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:givesight:com_powermail:1.53:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1533,A directory traversal vulnerability in the TweetLA (com_tweetla) component 1.0.1 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12142
     https://nvd.nist.gov/vuln/detail/CVE-2010-1533
     http://www.exploit-db.com/exploits/12142",CWE-22,CVE-2010-1533,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:peter_hocherl:com_tweetla:1.0.1:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1534,A directory traversal vulnerability in the Shoutbox Pro (com_shoutbox) component for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12067
     https://nvd.nist.gov/vuln/detail/CVE-2010-1534
     http://www.exploit-db.com/exploits/12067
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57534",CWE-22,CVE-2010-1534,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomla.batjo:com_shoutbox:*:*:*:*:*:*:*:*,,"joomla,lfi,edb,cve,cve2010"
